貨品編號,貨品名稱,單位
2501005,大湖-冰用彩虹蒟蒻3.8K-4,箱
2502000,大湖-冰用百香果粒4.2K-４,箱
2502002,大湖-冰用百香果粒(鐵桶)20,箱
2503000,大湖-冰用草莓醬4.2K-４入,箱
2504013,大湖-冰用烏梅果粒4.2K-4,箱
2506005,大湖-冰用桑椹果粒4.2K-4,箱
2507003,大湖-冰用鳳梨醬4K-4入,箱
2507403,大湖-冰用芒果果粒4.2k-4入,箱
2507711,大湖冰用桂花釀1.8k-6入,箱
2508001,大湖-蜜紅豆罐3.4K-6入,箱
2509001,大湖-蜜綠豆罐-６罐入,箱
2509003,蜜芋頭3.2K-６罐入,箱
2510001,大湖-蜜花豆罐-6罐入,箱
2511001,大湖-蜜花生罐3.3K-６入,箱
2512001,大湖-珍珠薏仁罐-６罐入,箱
2550003,吉特-檸檬原汁780cc-12入(,箱
2550012,金美達檸檬汁1000CC-12入,件
2552002,大湖-百香果濃縮汁2.5k-6入,箱
2553000,大湖-濃縮燒仙草3KG-６入,箱
2560000,香魁克濃縮柳橙汁2L-6入,箱
2560012,蔓越莓果粒1.7K(大湖)-6入,箱
2560101,泰山桂圓紫米紅豆1.75K-6,箱
2560103,泰山桂圓紅棗蓮子銀耳1.7K,箱
2560204,大湖-桂圓紅棗茶1.7Ｋ-6入,箱
2560212,大湖薑母茶5K-4入,箱
2560215,大湖-薑母茶**1.7K-6入,箱
